,Dimensiones_minimas,Dimensiones_rectas,Tasa,Cantidad_Aristas,Etiqueta
0,"(10.733125686645508, 6.260990142822266)","(10, 9)",1.7142856707657006,12,Emisor
0,"(42.470664978027344, 16.181859970092773)","(29, 37)",2.624584878161188,9,Emisor
0,"(47.70819854736328, 18.784225463867188)","(32, 42)",2.5398012092185245,9,Emisor
0,"(48.315650939941406, 19.62531280517578)","(32, 42)",2.461904756351151,10,Emisor
0,"(29.112661361694336, 1.8510942459106445)","(29, 9)",15.727271275359826,16,Emisor
0,"(14.0, 10.0)","(11, 15)",1.4,13,Emisor
0,"(6.640782833099365, 43.639427185058594)","(43, 17)",6.571428140602414,7,No-Emisor
0,"(9.899494171142578, 5.656853675842285)","(11, 9)",1.7500000421468527,8,No-Emisor
0,"(6.640782833099365, 43.955657958984375)","(43, 17)",6.619047642982405,7,No-Emisor
0,"(11.180339813232422, 6.708203315734863)","(11, 9)",1.666666808832053,16,Emisor
0,"(42.80000305175781, 15.800002098083496)","(29, 38)",2.708860592933045,8,No-Emisor
0,"(43.277069091796875, 16.611942291259766)","(29, 38)",2.605178150333856,10,Emisor
0,"(48.08325958251953, 17.677669525146484)","(32, 41)",2.7199999136832544,11,Emisor
0,"(48.23818588256836, 19.032155990600586)","(32, 41)",2.534562343141353,9,Emisor
0,"(32.010990142822266, 2.0614612102508545)","(32, 9)",15.528300985555251,8,No-Emisor
0,"(10.0, 14.0)","(11, 15)",1.4,13,Emisor
0,"(14.0, 10.0)","(11, 15)",1.4,16,Emisor
0,"(6.008327484130859, 43.639427185058594)","(43, 17)",7.263157226419275,6,No-Emisor
0,"(9.899494171142578, 5.656853675842285)","(10, 9)",1.7500000421468527,13,Emisor
0,"(6.008327484130859, 43.955657958984375)","(43, 17)",7.3157893066048185,7,No-Emisor
0,"(10.28591251373291, 6.260990142822266)","(10, 9)",1.6428571646171497,13,Emisor
0,"(42.80000305175781, 15.800002098083496)","(29, 37)",2.708860592933045,11,Emisor
0,"(43.868431091308594, 16.611942291259766)","(29, 37)",2.640776756995454,9,Emisor
0,"(47.740352630615234, 18.59617805480957)","(32, 42)",2.567213138630281,10,Emisor
0,"(48.77686309814453, 19.449771881103516)","(32, 42)",2.5078372844842383,9,Emisor
0,"(32.010990142822266, 1.8669836521148682)","(32, 9)",17.145833123156216,11,Emisor
0,"(14.0, 13.0)","(14, 15)",1.0769230769230769,16,Emisor
0,"(1.4142134189605713, 1.4142134189605713)","(3, 3)",1.0769230769230769,4,No-Emisor
0,"(2.0, 2.0)","(3, 3)",1.0769230769230769,4,No-Emisor
0,"(2.1213202476501465, 2.1213202476501465)","(4, 3)",1.0769230769230769,6,No-Emisor
0,"(2.0, 3.0)","(4, 3)",1.0769230769230769,5,No-Emisor
0,"(6.640782356262207, 43.639427185058594)","(43, 17)",6.571428612459637,7,No-Emisor
0,"(10.60660171508789, 7.0710673332214355)","(11, 10)",1.5000001011524433,17,Emisor
0,"(6.640782356262207, 43.955657958984375)","(43, 17)",6.619048118258917,7,No-Emisor
0,"(11.180339813232422, 6.708203315734863)","(11, 10)",1.666666808832053,17,Emisor
